"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TSPAN13",1.06531131194467e-10,0.44622774037863,0.385,0.361,2.73912844527214e-06
"HLA-DPB1",1.0667712394352e-10,0.412108699960352,0.6,0.631,2.7428822108358e-06
"PHYHD1",1.18086321074482e-10,0.700778524554695,0.252,0.212,3.03623548746708e-06
"SFXN1",1.20101457639219e-10,0.500439538626845,0.447,0.434,3.08804867881961e-06
"CARHSP1",1.21168370055924e-10,0.405323220362347,0.769,0.809,3.11548113087791e-06
"GPN3",1.44567005415665e-10,0.476137726290396,0.509,0.501,3.71710684324758e-06
"RBM24",1.49921704149971e-10,-0.364177959591522,0.084,0.12,3.85478685710405e-06
"AZIN1-AS1",1.51842752940198e-10,-0.337375258382311,0.083,0.12,3.90418086359836e-06
"GPNMB",1.52686883076885e-10,0.309419086440622,0.268,0.225,3.92588513767288e-06
"OTUD6B-AS1",1.60606908783776e-10,0.490073215605163,0.572,0.588,4.12952483864844e-06
"TRPT1",1.62275307667362e-10,0.557302145266704,0.334,0.298,4.17242271074322e-06
"TMEM187",1.69148081639361e-10,1.14137411233735,0.116,0.08,4.34913547511125e-06
"RABL3",1.72063537421328e-10,0.770188823921476,0.198,0.157,4.42409767417719e-06
"RAD23A",1.85286652795172e-10,0.340461437366804,0.679,0.715,4.76409041666947e-06
"BACH1",1.89648451470762e-10,0.73042501549941,0.224,0.182,4.87624098421624e-06
"CCDC88B",1.99024272399735e-10,0.783793544105126,0.142,0.103,5.11731209194198e-06
"ARRDC1",2.02137795319196e-10,0.601831478921347,0.277,0.237,5.19736699324716e-06
"FYN",2.05090675963734e-10,0.388070491465113,0.158,0.218,5.27329146037954e-06
"SPICE1",2.17100804531707e-10,-0.257465414561693,0.08,0.116,5.58209588611924e-06
"LMO7",2.20910198821774e-10,0.88515824926721,0.27,0.233,5.68004303210546e-06
"RP11-51J9.5",2.27475942894365e-10,1.09318273963012,0.112,0.076,5.84886144369992e-06
"FNBP1L",2.31769115215858e-10,0.670979977624016,0.338,0.309,5.95924749043015e-06
"PTMA",2.48102414157827e-10,0.286898655056764,0.996,1,6.37920927282604e-06
"GLIPR1",2.70430174100451e-10,0.841070227858342,0.124,0.085,6.95330063647079e-06
"HSDL2",2.8237389223684e-10,0.451218590518218,0.492,0.486,7.26039751719363e-06
"LAP3",2.93318303834852e-10,0.474413833642352,0.562,0.578,7.5418002282017e-06
"NFXL1",3.07811930956855e-10,-0.265133432149255,0.101,0.141,7.91446036876266e-06
"RNLS",3.95593479542211e-10,0.935560100946061,0.164,0.126,1.01714995459893e-05
"RP11-452F19.3",3.9661205256661e-10,0.796026103087441,0.231,0.19,1.01976890955927e-05
"FN3K",4.09001748796039e-10,0.77740489460533,0.186,0.146,1.05162529650438e-05
"OXR1",4.51620162188771e-10,0.576351332279535,0.323,0.289,1.16120576101977e-05
"KIAA0040",4.62489013995825e-10,-0.296898000332917,0.096,0.135,1.18915175278607e-05
"MACF1",5.00269566100399e-10,0.790858340569544,0.272,0.237,1.28629310835735e-05
"PCM1",5.15110417927591e-10,0.811684326195525,0.35,0.328,1.32445190657542e-05
"B9D1",5.81896047982658e-10,0.963505979939292,0.202,0.166,1.49617111857301e-05
"C11orf54",6.03134217835214e-10,0.540717617583147,0.431,0.41,1.5507787008979e-05
